,hour,minute,time_of_day,approved,denied,failed,processing,refunded,reversed,total,time_bin
2023-01-01 00:25:00,0,29,29,0.8292682926829268,0.17073170731707318,0.0,0.0,0.0,0.0,41.0,1
2023-01-01 00:30:00,0,34,34,0.7837837837837838,0.21621621621621623,0.0,0.0,0.0,0.0,37.0,1
2023-01-01 00:35:00,0,39,39,0.8913043478260869,0.10869565217391304,0.0,0.0,0.0,0.0,46.0,1
2023-01-01 00:40:00,0,44,44,0.9259259259259259,0.07407407407407407,0.0,0.0,0.0,0.0,27.0,1
2023-01-01 00:50:00,0,54,54,0.7567567567567568,0.24324324324324326,0.0,0.0,0.0,0.0,37.0,1
2023-01-01 01:00:00,1,4,64,0.9629629629629629,0.037037037037037035,0.0,0.0,0.0,0.0,27.0,1
2023-01-01 01:10:00,1,14,74,0.8148148148148148,0.18518518518518517,0.0,0.0,0.0,0.0,27.0,1
2023-01-01 01:15:00,1,19,79,1.0,0.0,0.0,0.0,0.0,0.0,17.0,1
2023-01-01 01:20:00,1,24,84,0.8461538461538461,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,13.0,1
2023-01-01 01:25:00,1,29,89,0.8,0.2,0.0,0.0,0.0,0.0,20.0,1
2023-01-01 01:30:00,1,34,94,0.5652173913043478,0.43478260869565216,0.0,0.0,0.0,0.0,23.0,1
2023-01-01 01:35:00,1,39,99,0.8666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,15.0,1
2023-01-01 01:40:00,1,44,104,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0,0.0,18.0,1
2023-01-01 01:45:00,1,49,109,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1
2023-01-01 01:50:00,1,54,114,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1
2023-01-01 01:55:00,1,59,119,0.5882352941176471,0.4117647058823529,0.0,0.0,0.0,0.0,17.0,1
2023-01-01 02:00:00,2,4,124,0.8461538461538461,0.15384615384615385,0.0,0.0,0.0,0.0,13.0,1
2023-01-01 02:05:00,2,9,129,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,7.0,1
2023-01-01 02:10:00,2,14,134,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1
2023-01-01 02:15:00,2,19,139,0.8,0.2,0.0,0.0,0.0,0.0,5.0,1
2023-01-01 02:20:00,2,24,144,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,9.0,1
2023-01-01 02:25:00,2,29,149,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1
2023-01-01 02:30:00,2,34,154,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,9.0,1
2023-01-01 02:35:00,2,39,159,0.8,0.2,0.0,0.0,0.0,0.0,5.0,1
2023-01-01 02:40:00,2,44,164,0.9,0.1,0.0,0.0,0.0,0.0,10.0,1
2023-01-01 02:45:00,2,49,169,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1
2023-01-01 02:50:00,2,54,174,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,3.0,1
2023-01-01 02:55:00,2,59,179,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1
2023-01-01 03:00:00,3,4,184,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1
2023-01-01 03:05:00,3,9,189,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,3.0,1
2023-01-01 03:10:00,3,14,194,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,7.0,1
2023-01-01 03:15:00,3,19,199,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1
2023-01-01 03:20:00,3,24,204,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,6.0,1
2023-01-01 03:25:00,3,29,209,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1
2023-01-01 03:30:00,3,34,214,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1
2023-01-01 03:35:00,3,39,219,0.6,0.4,0.0,0.0,0.0,0.0,5.0,1
2023-01-01 03:40:00,3,44,224,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1
2023-01-01 03:45:00,3,49,229,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1
2023-01-01 04:05:00,4,9,249,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2023-01-01 04:10:00,4,14,254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2023-01-01 04:15:00,4,19,259,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2
2023-01-01 04:20:00,4,24,264,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2
2023-01-01 04:25:00,4,29,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2023-01-01 04:30:00,4,34,274,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2023-01-01 04:35:00,4,39,279,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2
2023-01-01 04:40:00,4,44,284,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2
2023-01-01 04:45:00,4,49,289,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2
2023-01-01 04:50:00,4,54,294,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2
2023-01-01 04:55:00,4,59,299,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,9.0,2
2023-01-01 05:00:00,5,4,304,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2
2023-01-01 05:05:00,5,9,309,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,6.0,2
2023-01-01 05:10:00,5,14,314,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,12.0,2
2023-01-01 05:15:00,5,19,319,0.5384615384615384,0.46153846153846156,0.0,0.0,0.0,0.0,13.0,2
2023-01-01 05:20:00,5,24,324,0.7692307692307693,0.23076923076923078,0.0,0.0,0.0,0.0,13.0,2
2023-01-01 05:25:00,5,29,329,0.8076923076923077,0.19230769230769232,0.0,0.0,0.0,0.0,26.0,2
2023-01-01 05:30:00,5,34,334,0.7931034482758621,0.20689655172413793,0.0,0.0,0.0,0.0,29.0,2
2023-01-01 05:35:00,5,39,339,0.9375,0.0625,0.0,0.0,0.0,0.0,32.0,2
2023-01-01 05:40:00,5,44,344,0.868421052631579,0.13157894736842105,0.0,0.0,0.0,0.0,38.0,2
2023-01-01 05:45:00,5,49,349,0.8536585365853658,0.14634146341463414,0.0,0.0,0.0,0.0,41.0,2
2023-01-01 05:50:00,5,54,354,0.98,0.02,0.0,0.0,0.0,0.0,50.0,2
2023-01-01 05:55:00,5,59,359,0.8833333333333333,0.1,0.0,0.0,0.016666666666666666,0.0,60.0,2
2023-01-01 06:00:00,6,4,364,0.8611111111111112,0.1388888888888889,0.0,0.0,0.0,0.0,72.0,2
2023-01-01 06:05:00,6,9,369,0.9565217391304348,0.03260869565217391,0.0,0.0,0.0,0.010869565217391304,92.0,2
2023-01-01 06:10:00,6,14,374,0.9137931034482759,0.07758620689655173,0.0,0.0,0.0,0.008620689655172414,116.0,2
2023-01-01 06:15:00,6,19,379,0.9186991869918699,0.06504065040650407,0.0,0.0,0.0,0.008130081300813009,123.0,2
2023-01-01 06:20:00,6,24,384,0.8816568047337278,0.09467455621301775,0.0,0.0,0.005917159763313609,0.011834319526627219,169.0,2
2023-01-01 06:30:00,6,34,394,0.8603351955307262,0.12849162011173185,0.0,0.0,0.0,0.0111731843575419,179.0,2
2023-01-01 06:40:00,6,44,404,0.8945147679324894,0.0970464135021097,0.0,0.0,0.0,0.004219409282700422,237.0,2
2023-01-01 06:45:00,6,49,409,0.8835341365461847,0.11244979919678715,0.0,0.0,0.0,0.004016064257028112,249.0,2
2023-01-01 06:50:00,6,54,414,0.8909774436090225,0.09022556390977443,0.0,0.0,0.015037593984962405,0.0037593984962406013,266.0,2
2023-01-01 07:00:00,7,4,424,0.8951841359773371,0.09631728045325778,0.0,0.0,0.0028328611898017,0.0056657223796034,353.0,2
2023-01-01 07:05:00,7,9,429,0.9018567639257294,0.08753315649867374,0.0,0.0,0.005305039787798408,0.005305039787798408,377.0,2
2023-01-01 07:10:00,7,14,434,0.9027777777777778,0.08611111111111111,0.0,0.0,0.002777777777777778,0.008333333333333333,360.0,2
2023-01-01 07:15:00,7,19,439,0.9081632653061225,0.08418367346938775,0.0,0.0,0.0,0.00510204081632653,392.0,2
2023-01-01 07:20:00,7,24,444,0.9336384439359268,0.06178489702517163,0.0,0.0,0.0,0.004576659038901602,437.0,2
2023-01-01 07:25:00,7,29,449,0.8986486486486487,0.08333333333333333,0.0,0.0,0.0,0.01126126126126126,444.0,2
2023-01-01 07:30:00,7,34,454,0.9122055674518201,0.07922912205567452,0.0,0.0,0.0,0.006423982869379015,467.0,2
2023-01-01 07:35:00,7,39,459,0.8934579439252337,0.09345794392523364,0.0,0.0,0.0,0.007476635514018692,535.0,2
2023-01-01 07:45:00,7,49,469,0.9022687609075044,0.08202443280977312,0.0,0.0,0.006980802792321117,0.006980802792321117,573.0,2
2023-01-01 07:50:00,7,54,474,0.8540706605222734,0.13978494623655913,0.0,0.0,0.0030721966205837174,0.0030721966205837174,651.0,2
2023-01-01 07:55:00,7,59,479,0.9042089985486212,0.08708272859216255,0.0,0.0,0.0,0.005805515239477504,689.0,2
2023-01-01 08:00:00,8,4,484,0.9056603773584906,0.0783744557329463,0.0,0.0,0.002902757619738752,0.00725689404934688,689.0,3
2023-01-01 08:10:00,8,14,494,0.889018691588785,0.102803738317757,0.0,0.0,0.0,0.005841121495327103,856.0,3
2023-01-01 08:20:00,8,24,504,0.8818359375,0.107421875,0.0,0.0,0.00390625,0.0068359375,1024.0,3
2023-01-01 08:25:00,8,29,509,0.8926174496644296,0.0977948226270374,0.0,0.0,0.0028763183125599234,0.004793863854266539,1043.0,3
2023-01-01 08:30:00,8,34,514,0.8902439024390244,0.09380863039399624,0.0,0.0,0.0028142589118198874,0.01125703564727955,1066.0,3
2023-01-01 08:35:00,8,39,519,0.9002770083102493,0.08771929824561403,0.0,0.0,0.003693444136657433,0.006463527239150508,1083.0,3
2023-01-01 08:40:00,8,44,524,0.8942953020134228,0.09983221476510067,0.0,0.0,0.0016778523489932886,0.0041946308724832215,1192.0,3
2023-01-01 08:45:00,8,49,529,0.8871224165341812,0.0985691573926868,0.0,0.0,0.000794912559618442,0.00794912559618442,1258.0,3
2023-01-01 08:50:00,8,54,534,0.9013452914798207,0.09267563527653214,0.0014947683109118087,0.0,0.0007473841554559044,0.0037369207772795215,1338.0,3
2023-01-01 08:55:00,8,59,539,0.8964992389649924,0.09817351598173515,0.0,0.0,0.00228310502283105,0.0030441400304414,1314.0,3
2023-01-01 09:00:00,9,4,544,0.8888081395348837,0.09883720930232558,0.0,0.0,0.0,0.00944767441860465,1376.0,3
2023-01-01 09:05:00,9,9,549,0.8997995991983968,0.08750835003340013,0.0,0.0,0.0,0.008684034736138945,1497.0,3
2023-01-01 09:10:00,9,14,554,0.8911783644558918,0.09207984546039923,0.0,0.0,0.00128783000643915,0.010946555054732776,1553.0,3
2023-01-01 09:15:00,9,19,559,0.8942368587713743,0.09753008233058898,0.0,0.0,0.0018999366687777073,0.00506649778340722,1579.0,3
2023-01-01 09:20:00,9,24,564,0.9045138888888888,0.08680555555555555,0.0,0.0,0.0011574074074074073,0.00636574074074074,1728.0,3
2023-01-01 09:25:00,9,29,569,0.8849945235487404,0.0991237677984666,0.0,0.0,0.002190580503833516,0.009857612267250822,1826.0,3
