,hour,minute,time_of_day,approved,denied,failed,processing,refunded,reversed,total,time_bin
2023-01-01 00:25:00,0,29,29,0.8866666666666667,0.11333333333333333,0.0,0.0,0.0,0.0,150.0,1
2023-01-01 00:30:00,0,34,34,0.8303571428571429,0.16964285714285715,0.0,0.0,0.0,0.0,112.0,1
2023-01-01 00:35:00,0,39,39,0.9064748201438849,0.09352517985611511,0.0,0.0,0.0,0.0,139.0,1
2023-01-01 00:40:00,0,44,44,0.921875,0.078125,0.0,0.0,0.0,0.0,64.0,1
2023-01-01 00:50:00,0,54,54,0.7755102040816326,0.22448979591836735,0.0,0.0,0.0,0.0,98.0,1
2023-01-01 01:00:00,1,4,64,0.9572649572649573,0.042735042735042736,0.0,0.0,0.0,0.0,117.0,1
2023-01-01 01:10:00,1,14,74,0.9278350515463918,0.07216494845360824,0.0,0.0,0.0,0.0,97.0,1
2023-01-01 01:15:00,1,19,79,1.0,0.0,0.0,0.0,0.0,0.0,103.0,1
2023-01-01 01:20:00,1,24,84,0.9215686274509803,0.049019607843137254,0.0,0.0,0.029411764705882353,0.0,102.0,1
2023-01-01 01:25:00,1,29,89,0.9069767441860465,0.09302325581395349,0.0,0.0,0.0,0.0,86.0,1
2023-01-01 01:30:00,1,34,94,0.794392523364486,0.205607476635514,0.0,0.0,0.0,0.0,107.0,1
2023-01-01 01:35:00,1,39,99,0.859375,0.140625,0.0,0.0,0.0,0.0,64.0,1
2023-01-01 01:40:00,1,44,104,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0,0.0,90.0,1
2023-01-01 01:45:00,1,49,109,1.0,0.0,0.0,0.0,0.0,0.0,82.0,1
2023-01-01 01:50:00,1,54,114,1.0,0.0,0.0,0.0,0.0,0.0,65.0,1
2023-01-01 01:55:00,1,59,119,0.8728813559322034,0.1271186440677966,0.0,0.0,0.0,0.0,118.0,1
2023-01-01 02:00:00,2,4,124,0.9302325581395349,0.06976744186046512,0.0,0.0,0.0,0.0,86.0,1
2023-01-01 02:05:00,2,9,129,0.98989898989899,0.010101010101010102,0.0,0.0,0.0,0.0,99.0,1
2023-01-01 02:10:00,2,14,134,1.0,0.0,0.0,0.0,0.0,0.0,56.0,1
2023-01-01 02:15:00,2,19,139,0.9491525423728814,0.05084745762711865,0.0,0.0,0.0,0.0,59.0,1
2023-01-01 02:20:00,2,24,144,0.9098360655737705,0.09016393442622951,0.0,0.0,0.0,0.0,122.0,1
2023-01-01 02:25:00,2,29,149,1.0,0.0,0.0,0.0,0.0,0.0,46.0,1
2023-01-01 02:30:00,2,34,154,0.9777777777777777,0.022222222222222223,0.0,0.0,0.0,0.0,90.0,1
2023-01-01 02:35:00,2,39,159,0.9230769230769231,0.07692307692307693,0.0,0.0,0.0,0.0,39.0,1
2023-01-01 02:40:00,2,44,164,0.9900990099009901,0.009900990099009901,0.0,0.0,0.0,0.0,101.0,1
2023-01-01 02:45:00,2,49,169,1.0,0.0,0.0,0.0,0.0,0.0,54.0,1
2023-01-01 02:50:00,2,54,174,0.75,0.25,0.0,0.0,0.0,0.0,20.0,1
2023-01-01 02:55:00,2,59,179,1.0,0.0,0.0,0.0,0.0,0.0,64.0,1
2023-01-01 03:00:00,3,4,184,1.0,0.0,0.0,0.0,0.0,0.0,62.0,1
2023-01-01 03:05:00,3,9,189,0.9767441860465116,0.023255813953488372,0.0,0.0,0.0,0.0,43.0,1
2023-01-01 03:10:00,3,14,194,0.9080459770114943,0.09195402298850575,0.0,0.0,0.0,0.0,87.0,1
2023-01-01 03:15:00,3,19,199,1.0,0.0,0.0,0.0,0.0,0.0,37.0,1
2023-01-01 03:20:00,3,24,204,0.9305555555555556,0.06944444444444445,0.0,0.0,0.0,0.0,72.0,1
2023-01-01 03:25:00,3,29,209,1.0,0.0,0.0,0.0,0.0,0.0,37.0,1
2023-01-01 03:30:00,3,34,214,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1
2023-01-01 03:35:00,3,39,219,0.9464285714285714,0.05357142857142857,0.0,0.0,0.0,0.0,56.0,1
2023-01-01 03:40:00,3,44,224,0.0,1.0,0.0,0.0,0.0,0.0,18.0,1
2023-01-01 04:00:00,4,4,244,1.0,0.0,0.0,0.0,0.0,0.0,42.0,2
2023-01-01 04:05:00,4,9,249,1.0,0.0,0.0,0.0,0.0,0.0,21.0,2
2023-01-01 04:10:00,4,14,254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2023-01-01 04:15:00,4,19,259,1.0,0.0,0.0,0.0,0.0,0.0,19.0,2
2023-01-01 04:20:00,4,24,264,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2
2023-01-01 04:25:00,4,29,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2023-01-01 04:30:00,4,34,274,1.0,0.0,0.0,0.0,0.0,0.0,26.0,2
2023-01-01 04:35:00,4,39,279,1.0,0.0,0.0,0.0,0.0,0.0,52.0,2
2023-01-01 04:40:00,4,44,284,1.0,0.0,0.0,0.0,0.0,0.0,71.0,2
2023-01-01 04:45:00,4,49,289,1.0,0.0,0.0,0.0,0.0,0.0,27.0,2
2023-01-01 04:50:00,4,54,294,1.0,0.0,0.0,0.0,0.0,0.0,61.0,2
2023-01-01 04:55:00,4,59,299,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,60.0,2
2023-01-01 05:00:00,5,4,304,1.0,0.0,0.0,0.0,0.0,0.0,69.0,2
2023-01-01 05:05:00,5,9,309,0.9836065573770492,0.01639344262295082,0.0,0.0,0.0,0.0,61.0,2
2023-01-01 05:10:00,5,14,314,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,0.0,85.0,2
2023-01-01 05:15:00,5,19,319,0.8602150537634409,0.13978494623655913,0.0,0.0,0.0,0.0,93.0,2
2023-01-01 05:20:00,5,24,324,0.847457627118644,0.15254237288135594,0.0,0.0,0.0,0.0,59.0,2
2023-01-01 05:25:00,5,29,329,0.8316831683168316,0.16831683168316833,0.0,0.0,0.0,0.0,101.0,2
2023-01-01 05:30:00,5,34,334,0.8472222222222222,0.1527777777777778,0.0,0.0,0.0,0.0,72.0,2
2023-01-01 05:35:00,5,39,339,0.9428571428571428,0.05714285714285714,0.0,0.0,0.0,0.0,105.0,2
2023-01-01 05:40:00,5,44,344,0.8512396694214877,0.1487603305785124,0.0,0.0,0.0,0.0,121.0,2
2023-01-01 05:45:00,5,49,349,0.8584070796460177,0.1415929203539823,0.0,0.0,0.0,0.0,113.0,2
2023-01-01 05:50:00,5,54,354,0.9770992366412213,0.022900763358778626,0.0,0.0,0.0,0.0,131.0,2
2023-01-01 05:55:00,5,59,359,0.9175257731958762,0.07216494845360824,0.0,0.0,0.010309278350515464,0.0,194.0,2
2023-01-01 06:00:00,6,4,364,0.8961038961038961,0.1038961038961039,0.0,0.0,0.0,0.0,154.0,2
2023-01-01 06:10:00,6,14,374,0.8742857142857143,0.10285714285714286,0.0,0.0,0.0,0.022857142857142857,175.0,2
2023-01-01 06:15:00,6,19,379,0.9155555555555556,0.07555555555555556,0.0,0.0,0.0,0.0044444444444444444,225.0,2
2023-01-01 06:20:00,6,24,384,0.8552631578947368,0.11403508771929824,0.0,0.0,0.008771929824561403,0.017543859649122806,228.0,2
2023-01-01 06:40:00,6,44,404,0.8716216216216216,0.10810810810810811,0.0,0.0,0.0,0.010135135135135136,296.0,2
2023-01-01 06:45:00,6,49,409,0.8710801393728222,0.12195121951219512,0.0,0.0,0.0,0.006968641114982578,287.0,2
2023-01-01 06:50:00,6,54,414,0.875,0.08423913043478261,0.0,0.0,0.019021739130434784,0.021739130434782608,368.0,2
2023-01-01 07:00:00,7,4,424,0.8699763593380615,0.10638297872340426,0.0,0.0,0.004728132387706856,0.018912529550827423,423.0,2
2023-01-01 07:05:00,7,9,429,0.8737270875763747,0.08757637474541752,0.0,0.0,0.012219959266802444,0.026476578411405296,491.0,2
