;time;status;count;;;;;
0;00h 00;approved;14;;;;approved;-30 + 60 * RAND()
1;00h 00;denied;9;;;;denied;-4+8*RAND()
2;00h 00;refunded;1;;;;refunded;-2+4
3;00h 01;denied;8;;;;reversed;-15+30
4;00h 01;approved;27;;;;backend_reversed;-15+30
5;00h 02;refunded;1;;;;failed;-1+2
6;00h 02;approved;35;;;;processing;-2+4
7;00h 02;denied;8;;;"IF(C2=""approved"";D2 +(-30+60*RAND()); IF(C2=""denied""; D2 + (-4+8*RAND()); IF(C2=""refunded""; D2+(-2+4*RAND()); IF(C2=""reversed""; D2+(-15+30*RAND()); IF(C2=""backend_reversed""; D2 + (-5+10*RAND()); IF(C2=""failed"";D2 + (-1+2*RAND()); D2 + (-2+4*RAND())))))))";;
8;00h 03;denied;6;;;;;
9;00h 03;approved;21;;;;"IF(C2=""approved"";D2 +RANDBETWEEN(0;30); IF(C2=""denied""; D2 + RANDBETWEEN(0;4); IF(C2=""refunded""; D2+RANDBETWEEN(0;2); IF(C2=""reversed""; D2+RANDBETWEEN(0;10); IF(C2=""backend_reversed""; D2 + RANDBETWEEN(0;7); IF(C2=""failed"";D2 +RANDBETWEEN(0;2); D2 +RANDBETWEEN(0;3)))))))";
10;00h 04;approved;40;;;;;
11;00h 05;denied;6;;;;;
12;00h 05;approved;32;;;;;
13;00h 06;denied;6;;;;;
14;00h 06;approved;33;;;;;
15;00h 07;reversed;9;;;;;
16;00h 07;denied;1;;;;;
17;00h 07;approved;30;;;;;
18;00h 08;approved;28;;;;;
19;00h 08;denied;3;;;;;
20;00h 09;approved;22;;;;;
21;00h 10;denied;4;;;;;
22;00h 10;approved;34;;;;;
23;00h 11;approved;27;;;;;
24;00h 11;denied;2;;;;;
25;00h 12;approved;32;;;;;
26;00h 13;approved;28;;;;;
27;00h 14;approved;14;;;;;
28;00h 15;approved;14;;;;;
29;00h 16;approved;11;;;;;
30;00h 17;approved;21;;;;;
31;00h 18;approved;23;;;;;
32;00h 19;approved;29;;;;;
33;00h 19;denied;6;;;;;
34;00h 19;refunded;3;;;;;
35;00h 20;denied;4;;;;;
36;00h 20;approved;42;;;;;
37;00h 21;approved;27;;;;;
38;00h 21;denied;2;;;;;
39;00h 22;approved;4;;;;;
40;00h 23;approved;34;;;;;
41;00h 23;denied;2;;;;;
42;00h 24;approved;23;;;;;
43;00h 24;denied;1;;;;;
44;00h 25;approved;17;;;;;
45;00h 26;approved;37;;;;;
46;00h 26;denied;6;;;;;
47;00h 27;denied;5;;;;;
48;00h 27;approved;30;;;;;
49;00h 28;approved;37;;;;;
50;00h 28;denied;4;;;;;
51;00h 29;denied;2;;;;;
52;00h 29;approved;12;;;;;
53;00h 30;denied;4;;;;;
54;00h 30;approved;19;;;;;
55;00h 31;approved;33;;;;;
56;00h 32;approved;8;;;;;
57;00h 32;denied;6;;;;;
58;00h 33;denied;7;;;;;
59;00h 33;approved;11;;;;;
60;00h 34;denied;2;;;;;
61;00h 34;approved;22;;;;;
62;00h 35;approved;24;;;;;
63;00h 36;denied;4;;;;;
64;00h 36;approved;27;;;;;
65;00h 37;approved;38;;;;;
66;00h 37;denied;5;;;;;
67;00h 38;approved;18;;;;;
