;time;status;count
0;00h 00;reversed;7
1;00h 00;approved;33
2;00h 00;processing;12
3;00h 00;denied;3
4;00h 00;backend_reversed;2
5;00h 01;approved;41
6;00h 01;backend_reversed;2
7;00h 01;reversed;4
8;00h 01;processing;3
9;00h 01;denied;15
10;00h 02;reversed;14
11;00h 02;backend_reversed;4
12;00h 02;processing;8
13;00h 02;approved;35
14;00h 02;denied;7
15;00h 03;denied;6
16;00h 03;backend_reversed;5
17;00h 03;approved;29
18;00h 03;processing;7
19;00h 03;reversed;16
20;00h 04;processing;2
21;00h 04;reversed;14
22;00h 04;backend_reversed;6
23;00h 04;approved;27
24;00h 04;denied;7
25;00h 05;approved;37
26;00h 05;reversed;8
27;00h 05;denied;6
28;00h 06;approved;28
29;00h 06;reversed;9
30;00h 06;denied;6
31;00h 07;processing;1
32;00h 07;backend_reversed;4
33;00h 07;denied;5
34;00h 07;approved;30
35;00h 07;reversed;3
36;00h 08;processing;9
37;00h 08;reversed;8
38;00h 08;backend_reversed;8
39;00h 08;approved;25
40;00h 09;approved;23
41;00h 09;reversed;17
42;00h 09;denied;5
43;00h 09;backend_reversed;9
44;00h 09;processing;7
45;00h 10;denied;1
46;00h 10;processing;7
47;00h 10;reversed;11
48;00h 10;backend_reversed;14
49;00h 11;backend_reversed;7
50;00h 11;approved;21
51;00h 11;processing;4
52;00h 11;denied;3
53;00h 11;reversed;10
54;00h 12;approved;27
55;00h 12;processing;6
56;00h 12;denied;11
57;00h 12;refunded;1
58;00h 12;backend_reversed;9
59;00h 12;reversed;11
60;00h 13;approved;48
61;00h 13;denied;8
62;00h 14;approved;47
63;00h 14;denied;5
64;00h 15;approved;24
65;00h 15;reversed;10
66;00h 15;denied;5
67;00h 16;refunded;3
68;00h 16;denied;6
69;00h 16;reversed;11
70;00h 16;approved;17
71;00h 17;reversed;14
72;00h 17;denied;2
73;00h 17;approved;42
74;00h 17;refunded;1
75;00h 18;approved;41
76;00h 18;denied;3
77;00h 19;approved;20
78;00h 20;denied;6
79;00h 20;approved;41
80;00h 21;approved;26
81;00h 21;reversed;6
82;00h 21;denied;6
83;00h 22;approved;41
84;00h 22;denied;7
85;00h 23;denied;5
86;00h 23;approved;41
87;00h 24;refunded;2
88;00h 24;approved;43
89;00h 24;denied;11
90;00h 25;approved;26
91;00h 25;denied;4
92;00h 25;reversed;7
93;00h 26;approved;14
94;00h 27;approved;41
95;00h 28;approved;23
96;00h 28;denied;4
97;00h 29;approved;16
98;00h 29;denied;3
99;00h 30;denied;7
100;00h 30;approved;33
101;00h 31;approved;22
102;00h 31;denied;4
103;00h 32;approved;37
104;00h 33;denied;2
105;00h 33;approved;30
106;00h 34;denied;2
107;00h 34;approved;28
108;00h 35;approved;27
109;00h 36;denied;2
110;00h 36;approved;14
111;00h 36;reversed;1
112;00h 37;denied;5
113;00h 37;approved;26
114;00h 38;approved;31
115;00h 38;denied;4
116;01h 38;approved;30
117;01h 39;approved;12
118;01h 40;approved;21
119;01h 40;denied;2
120;01h 41;reversed;6
121;01h 41;approved;22
122;01h 42;reversed;8
123;01h 42;approved;20
124;01h 43;reversed;5
125;01h 43;approved;17
126;01h 43;refunded;3
127;01h 44;reversed;4
128;01h 44;approved;9
129;01h 45;approved;33
130;01h 46;approved;24
131;01h 46;reversed;2
132;01h 47;approved;20
133;01h 48;approved;16
134;01h 49;approved;25
135;01h 50;approved;32
136;01h 52;approved;34
137;01h 53;approved;16
138;01h 54;denied;5
139;01h 55;approved;5
140;01h 56;approved;12
141;01h 56;denied;2
142;01h 57;approved;32
143;01h 58;approved;28
144;02h 00;approved;11
145;02h 01;approved;13
146;02h 02;approved;8
147;02h 03;approved;22
148;02h 04;approved;7
149;02h 05;approved;31
150;02h 05;denied;4
151;02h 06;approved;26
152;02h 07;denied;3
153;02h 07;approved;31
154;02h 08;approved;22
155;02h 09;approved;22
156;02h 10;approved;7
157;02h 11;approved;3
158;02h 11;reversed;2
159;02h 12;approved;23
160;02h 14;denied;4
161;02h 15;approved;10
162;02h 15;denied;5
163;02h 17;approved;23
164;02h 18;approved;10
165;02h 19;approved;19
166;02h 20;approved;17
167;02h 21;approved;23
168;02h 22;approved;23
169;02h 23;approved;11
170;02h 24;approved;15
171;02h 25;approved;9
172;02h 26;approved;8
173;02h 27;approved;3
174;02h 28;approved;23
175;02h 29;approved;16
176;02h 30;approved;19
177;02h 31;approved;17
178;02h 32;approved;30
179;02h 33;approved;5
180;02h 35;approved;1
181;02h 36;approved;3
182;02h 37;denied;5
183;02h 37;approved;21
184;02h 38;denied;5
185;02h 39;approved;2
186;02h 40;approved;14
187;02h 41;approved;21
188;02h 42;approved;26
189;02h 43;approved;27
190;02h 44;approved;14
191;02h 45;approved;22
192;02h 46;approved;28
193;02h 47;approved;9
194;02h 48;approved;18
195;02h 49;approved;18
196;02h 50;approved;30
197;02h 51;approved;6
198;02h 52;approved;20
199;02h 53;approved;27
200;02h 54;denied;5
201;02h 56;approved;15
202;02h 58;denied;3
203;02h 58;approved;5
204;03h 01;denied;3
205;03h 02;approved;24
206;03h 03;approved;8
207;03h 03;denied;5
208;03h 06;approved;22
209;03h 07;approved;14
210;03h 07;denied;5
211;03h 08;approved;4
212;03h 09;denied;3
213;03h 10;denied;3
214;03h 14;approved;18
215;03h 15;approved;14
216;03h 17;denied;5
217;03h 17;approved;26
218;03h 18;denied;4
219;03h 20;approved;29
220;03h 24;denied;4
221;03h 26;denied;1
222;03h 28;approved;26
223;03h 29;approved;28
224;03h 30;approved;12
225;03h 33;denied;5
226;03h 33;approved;30
227;03h 34;denied;3
228;03h 34;approved;9
229;03h 34;reversed;3
230;03h 35;approved;27
231;03h 36;approved;20
232;03h 37;backend_reversed;1
233;03h 37;approved;1
234;03h 38;backend_reversed;1
235;03h 38;approved;9
236;03h 39;approved;15
237;03h 39;denied;1
238;03h 40;approved;31
239;03h 40;denied;3
240;03h 41;denied;2
241;03h 42;approved;23
242;03h 42;denied;4
243;03h 43;denied;4
244;03h 43;approved;28
245;03h 44;reversed;4
246;03h 44;approved;4
247;03h 45;approved;20
248;03h 46;denied;5
249;03h 47;backend_reversed;8
250;03h 47;approved;17
251;03h 48;approved;6
252;03h 49;approved;9
253;03h 50;denied;5
254;03h 50;reversed;2
255;03h 50;approved;11
256;03h 51;approved;13
257;03h 52;denied;2
258;03h 52;approved;23
259;03h 53;denied;1
260;03h 53;approved;7
261;03h 54;approved;23
262;03h 55;approved;30
263;03h 57;approved;1
264;03h 58;approved;16
265;04h 03;approved;18
266;04h 03;denied;2
267;04h 06;approved;8
268;04h 11;approved;6
269;04h 12;approved;8
270;04h 13;denied;2
271;04h 13;approved;31
272;04h 14;approved;10
273;04h 15;approved;12
274;04h 18;approved;29
275;04h 19;approved;12
276;04h 20;approved;19
277;04h 22;approved;1
278;04h 23;approved;3
279;04h 28;approved;28
280;04h 28;denied;5
281;04h 29;approved;16
282;04h 31;approved;30
283;04h 33;approved;9
284;04h 41;approved;32
285;04h 42;approved;30
286;04h 43;approved;22
287;04h 44;approved;17
288;04h 46;approved;14
289;04h 47;approved;22
290;04h 48;approved;13
291;04h 49;approved;4
292;04h 52;approved;29
293;04h 55;approved;28
294;04h 56;approved;30
295;04h 58;approved;9
296;05h 00;approved;3
297;05h 01;approved;31
298;05h 02;approved;17
299;05h 04;approved;23
300;05h 05;approved;10
301;05h 06;denied;2
302;05h 06;approved;19
303;05h 07;denied;2
304;05h 07;approved;18
305;05h 08;approved;12
306;05h 09;approved;4
307;05h 10;denied;4
308;05h 12;approved;28
309;05h 12;denied;5
310;05h 13;approved;32
311;05h 13;denied;5
312;05h 14;approved;17
313;05h 15;denied;3
314;05h 15;approved;20
315;05h 16;approved;27
316;05h 17;approved;10
317;05h 18;approved;18
318;05h 19;approved;31
319;05h 21;approved;27
320;05h 22;approved;7
321;05h 23;approved;25
322;05h 25;approved;12
323;05h 25;denied;1
324;05h 26;approved;17
325;05h 27;denied;4
326;05h 27;approved;10
327;05h 28;denied;3
328;05h 28;approved;4
329;05h 30;approved;14
330;05h 31;approved;8
331;05h 32;approved;31
332;05h 32;denied;3
333;05h 33;approved;24
334;05h 34;denied;6
335;05h 34;approved;29
336;05h 35;denied;4
337;05h 35;approved;11
338;05h 36;approved;12
339;05h 36;refunded;3
340;05h 36;denied;4
341;05h 37;denied;4
342;05h 37;approved;13
343;05h 38;denied;5
344;05h 38;approved;22
345;05h 39;approved;16
346;05h 40;approved;26
347;05h 40;denied;2
348;05h 41;approved;27
349;05h 42;denied;1
350;05h 42;approved;30
351;05h 43;approved;26
352;05h 44;approved;7
353;05h 44;reversed;7
354;05h 44;denied;4
355;05h 45;approved;14
356;05h 45;denied;6
357;05h 46;approved;11
358;05h 46;denied;5
359;05h 47;denied;4
360;05h 47;approved;27
361;05h 48;denied;5
362;05h 48;approved;12
363;05h 49;backend_reversed;4
364;05h 49;approved;28
365;05h 49;denied;4
366;05h 49;reversed;9
367;05h 50;approved;34
368;05h 51;approved;32
369;05h 51;reversed;7
370;05h 52;approved;19
371;05h 52;denied;3
372;05h 53;denied;5
373;05h 53;approved;9
374;05h 53;reversed;1
375;05h 54;approved;23
376;05h 55;approved;13
377;05h 55;backend_reversed;8
378;05h 55;denied;4
379;05h 55;reversed;6
380;05h 56;approved;7
381;05h 57;denied;1
382;05h 57;approved;13
383;05h 57;reversed;6
384;05h 58;denied;6
385;05h 58;approved;35
386;05h 59;approved;20
387;05h 59;denied;5
